N,replica,metric,value
50,78,avg_clustering_ud,0.0
50,78,modularity_ud,0.56
50,79,n_nodes,50.0
50,79,n_edges,0.0
50,79,lcc_nodes,1.0
50,79,lcc_ratio,0.02
50,79,avg_shortest_path_lcc,
50,79,diameter_lcc,
50,79,degree_assortativity_ud,
50,79,avg_clustering_ud,0.0
50,79,modularity_ud,
50,80,n_nodes,50.0
50,80,n_edges,8.0
50,80,lcc_nodes,4.0
50,80,lcc_ratio,0.08
50,80,avg_shortest_path_lcc,1.5
50,80,diameter_lcc,2.0
50,80,degree_assortativity_ud,-0.6
50,80,avg_clustering_ud,0.0
50,80,modularity_ud,0.6875
50,81,n_nodes,50.0
50,81,n_edges,4.0
50,81,lcc_nodes,3.0
50,81,lcc_ratio,0.06
50,81,avg_shortest_path_lcc,1.3333333333333333
50,81,diameter_lcc,2.0
50,81,degree_assortativity_ud,-0.3333333333333333
50,81,avg_clustering_ud,0.0
50,81,modularity_ud,0.625
50,82,n_nodes,50.0
50,82,n_edges,5.0
50,82,lcc_nodes,5.0
50,82,lcc_ratio,0.1
50,82,avg_shortest_path_lcc,1.6
50,82,diameter_lcc,2.0
50,82,degree_assortativity_ud,-0.6666666666666673
50,82,avg_clustering_ud,0.0
50,82,modularity_ud,0.32000000000000006
50,83,n_nodes,50.0
50,83,n_edges,6.0
50,83,lcc_nodes,3.0
50,83,lcc_ratio,0.06
50,83,avg_shortest_path_lcc,1.3333333333333333
50,83,diameter_lcc,2.0
50,83,degree_assortativity_ud,-0.4999999999999998
50,83,avg_clustering_ud,0.0
50,83,modularity_ud,0.7222222222222222
50,84,n_nodes,50.0
50,84,n_edges,1.0
50,84,lcc_nodes,2.0
50,84,lcc_ratio,0.04
50,84,avg_shortest_path_lcc,1.0
50,84,diameter_lcc,1.0
50,84,degree_assortativity_ud,
50,84,avg_clustering_ud,0.0
50,84,modularity_ud,0.0
50,85,n_nodes,50.0
50,85,n_edges,23.0
50,85,lcc_nodes,24.0
50,85,lcc_ratio,0.48
50,85,avg_shortest_path_lcc,1.9166666666666667
50,85,diameter_lcc,2.0
50,85,degree_assortativity_ud,-1.0
50,85,avg_clustering_ud,0.0
50,85,modularity_ud,0.0
50,86,n_nodes,50.0
50,86,n_edges,2.0
50,86,lcc_nodes,3.0
50,86,lcc_ratio,0.06
50,86,avg_shortest_path_lcc,1.3333333333333333
50,86,diameter_lcc,2.0
50,86,degree_assortativity_ud,-1.0
50,86,avg_clustering_ud,0.0
50,86,modularity_ud,0.0
50,87,n_nodes,50.0
50,87,n_edges,1.0
50,87,lcc_nodes,2.0
50,87,lcc_ratio,0.04
50,87,avg_shortest_path_lcc,1.0
50,87,diameter_lcc,1.0
50,87,degree_assortativity_ud,
50,87,avg_clustering_ud,0.0
50,87,modularity_ud,0.0
50,88,n_nodes,50.0
50,88,n_edges,4.0
50,88,lcc_nodes,3.0
50,88,lcc_ratio,0.06
50,88,avg_shortest_path_lcc,1.3333333333333333
50,88,diameter_lcc,2.0
50,88,degree_assortativity_ud,-0.3333333333333333
50,88,avg_clustering_ud,0.0
50,88,modularity_ud,0.64
50,89,n_nodes,50.0
50,89,n_edges,1.0
50,89,lcc_nodes,2.0
50,89,lcc_ratio,0.04
50,89,avg_shortest_path_lcc,1.0
50,89,diameter_lcc,1.0
50,89,degree_assortativity_ud,
50,89,avg_clustering_ud,0.0
50,89,modularity_ud,0.0
50,90,n_nodes,50.0
50,90,n_edges,2.0
50,90,lcc_nodes,2.0
50,90,lcc_ratio,0.04
50,90,avg_shortest_path_lcc,1.0
50,90,diameter_lcc,1.0
50,90,degree_assortativity_ud,
50,90,avg_clustering_ud,0.0
50,90,modularity_ud,0.5
