tweet_id,user_id,created_at,text,reply_to,retweet_of,mentions_json
1367608186124070924,132699857,Thu Mar 04 22:49:35 +0000 2021,Quem vocês querem que ganhe o líder hoje no #BBB21? 👑,,,[]
1367608186124070924,132699857,Thu Mar 04 23:36:14 +0000 2021,"Probosta ou sua cadelinha Arthur. Daí o João é indicado, sai no paredão fake,bos idiotas vão achar que já são finalistas e o professor volta pro tombo deles ser grande. Fim ❤️ #bbb21",,,[]
1564816840098021377,275674562,Thu Mar 04 23:36:09 +0000 2021,"@FreireJuliette mulher a gente aqui querendo que vc arrume uma briga com alguém pra ir pro paredão falso, e vc ganha ♥️ de todo mundo hj. O nosso ♥️ não aguenta mulher 😂😂😂 #bbb21",,,"[""1564816840098021377""]"
1367619886722265091,1331935898997501953,Thu Mar 04 23:36:04 +0000 2021,"Ola amgs haters, vamos jogar de maneira limpa, Carla é opção de voto da Sarah, se vc concorda com o jogo da Carla problema seu. Eu n concordo com o jogo da Carla e fico no aguardo da Sarah (quem sabe ne) colocar ela no paredão #BBB21",,,[]
1367619757231534083,296951646,Thu Mar 04 23:35:33 +0000 2021,Carla no paredão então? #bbb21,,,[]
1360818391049793539,1283567227946635265,,@gilnogueiraofc Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale \n https://t.co/oWfzb6thEx,1367619263494766599,,"[""1360818391049793539""]"
1367619578902241286,1267704981173526528,Thu Mar 04 23:34:51 +0000 2021,"A melhor forma de desmascarar a vih cuspe é indo Sarah pro paredão falso. Acho q se for a Ju, ela não vai falar mal. Mas se for a Sarah, ela vai achar que o G3 não está forte e vai pender pro lado do projota e arthur. E aí sim, vai ficar falando mal da Juliette. \n\n#bbb21",,,[]
1599378950970482689,1283567227946635265,,@KOOSTFU Gilberto Carla Diaz Caio Fiuk Lumena Projota juliette thais Rodolfo um milhão da sarah Camilla De Lucas sarah líder Viih Tube Pocah Tiago Boninho Karol Conka João BBB Paredão  #BBB21 #RedeBBB #WandaVisionFinale \n https://t.co/oWfzb6thEx,,,"[""1599378950970482689""]"
1367619340405780480,2528145841,Thu Mar 04 23:33:54 +0000 2021,Prox paredão do #BBB21 é paredão falso né?,,,[]
1367619319849504770,21416788,Thu Mar 04 23:33:49 +0000 2021,"a Carla queria entrar no BBB e não votar, não ser votada, nas provas todos ganham, não tem paredao ou se tem ng sai, e no final, todos se abraçam e dividem o prêmio. é isso? #bbb21",,,[]
1367619277398953984,4452543327,Thu Mar 04 23:33:39 +0000 2021,"Torcendo pra prova do líder mandar alguém direto pro paredão e que seja a Juju, sem direito a bate-volta, por conta do paredão falso... #BBB21",,,[]
